Date,Panhandle,Nqoga,Thaoge,Xudum,Boro,Maunachira,Selinda,Mboroga,Khwai
2012-02-01,867,1140,161,498,1612,934,232,1008,500
2012-03-01,863,1217,218,557,1574,894,314,941,500
2012-04-01,857,1319,316,825,1740,886,346,923,500
2012-05-01,889,1325,373,1113,1740,959,430,939,500
2012-06-01,829,1328,472,1469,1740,1030,515,997,500
2012-07-01,833,1280,446,1753,1740,1087,499,1030,500
2012-08-01,818,1252,336,1527,1740,1080,434,1030,500
2012-09-01,802,1173,90,1201,1740,999,327,1017,500
2012-10-01,762,1034,12,794,1679,926,207,878,500
2012-11-01,712,892,1,204,1231,745,39,722,483
2012-12-01,697,863,0,42,945,704,3,592,431
2013-01-01,759,1031,5,10,1059,816,11,677,484
2013-02-01,861,1001,10,29,840,826,17,593,447
2013-03-01,822,1030,29,45,534,802,34,520,388
2013-04-01,876,1075,52,347,613,820,53,476,352
2013-05-01,849,1201,43,672,878,842,125,506,363
2013-06-01,845,1337,43,479,1261,866,149,541,382
2013-07-01,815,1274,56,549,1533,927,155,569,417
2013-08-01,817,1232,59,562,1466,853,106,529,428
2013-09-01,791,1146,5,111,1184,726,13,479,365
2013-10-01,751,1005,7,17,799,667,2,159,259
2013-11-01,697,971,0,10,262,554,0,79,169
2013-12-01,723,1061,2,0,246,596,2,124,195
2014-01-01,714,1078,2,8,166,667,0,234,228
2014-02-01,793,1187,6,10,216,716,4,164,272
2014-03-01,850,1395,17,29,498,891,17,362,384
2014-04-01,839,1272,40,65,577,966,40,467,418
2014-05-01,876,1319,68,136,678,1010,123,538,456
2014-06-01,857,1336,179,427,1193,1092,220,651,496
2014-07-01,825,1301,286,764,1633,1143,163,727,500
2014-08-01,823,1255,47,540,1711,1104,124,777,500
2014-09-01,805,1184,50,394,1461,1025,30,783,500
2014-10-01,759,1025,3,70,1107,886,3,562,474
2014-11-01,705,890,3,9,586,813,0,361,382
2014-12-01,672,749,0,3,413,709,0,276,324
