Date,Inflow-Mohembo,Rainfall-Maun,Rainfall-Shakawe
1987/07/01,505,0,0
1987/08/01,460,0,0
1987/09/01,387,3.9,6.2
1987/10/01,366,8.5,16.1
1987/11/01,338,6.1,41.5
1987/12/01,478,92.3,31.6
1988/01/01,532,38.2,79.8
1988/02/01,804,106.7,161.3
1988/03/01,1117,80.4,55.9
1988/04/01,1267,19.2,68.1
1988/05/01,1423,0,0
1988/06/01,957,0,0
1988/07/01,723,0,0
1988/08/01,569,0,0
1988/09/01,482,7.6,10.1
1988/10/01,414,17,25.9
1988/11/01,392,14.6,29.8
1988/12/01,621,69.5,72.8
1989/01/01,1072,215.5,330.3
1989/02/01,1391,180.2,241.2
1989/03/01,1215,44.3,112.8
1989/04/01,1068,96.3,46.6
1989/05/01,1280,0,0
1989/06/01,929,0,0
1989/07/01,667,0,0
1989/08/01,508,0,0
1989/09/01,411,0,0
1989/10/01,367,0,2.6
1989/11/01,331,7.2,27.8
1989/12/01,384,40.1,76.3
1990/01/01,413,84.1,235.3
1990/02/01,713,110.1,32.7
1990/03/01,1063,33.3,78.3
1990/04/01,1123,17.3,45.9
1990/05/01,1302,0,0
1990/06/01,769,0,0
1990/07/01,603,0,0
1990/08/01,477,0,0
1990/09/01,398,0,0
1990/10/01,348,17.4,4.8
1990/11/01,338,5.5,22.8
1990/12/01,540,41.5,99.7
1991/01/01,790,177.6,123.7
1991/02/01,955,133.9,140.1
1991/03/01,891,122.7,45.9
1991/04/01,986,0,0
1991/05/01,811,0,0
1991/06/01,534,0,0
1991/07/01,462,0,0
1991/08/01,405,0,0
1991/09/01,356,5.8,0
1991/10/01,324,28.5,14.7
1991/11/01,384,13.3,28.6
1991/12/01,580,78.4,216.4
1992/01/01,883,50.1,108
1992/02/01,1303,7.4,0.3
1992/03/01,1666,87.3,157.4
1992/04/01,1584,5,23.6
1992/05/01,1062,0,0
1992/06/01,654,0,0
1992/07/01,549,0,0
1992/08/01,495,0,0
1992/09/01,384,1.4,0.5
1992/10/01,334,6.7,0.9
1992/11/01,337,40.7,84.1
1992/12/01,384,55.1,159.1
1993/01/01,426,66.5,181.1
1993/02/01,544,122,136.2
1993/03/01,633,15.4,37.3
1993/04/01,889,47.4,15.8
1993/05/01,843,0,0
1993/06/01,644,0,0
1993/07/01,520,0.7,0
1993/08/01,423,0,0
1993/09/01,351,8.2,4.4
1993/10/01,334,14.3,7.1
1993/11/01,310,23.9,29.1
1993/12/01,434,154.8,73.7
1994/01/01,829,275,263.2
1994/02/01,822,50,56.2
1994/03/01,864,6.2,1.3
1994/04/01,786,0,33.8
1994/05/01,652,0,0
1994/06/01,462,0,0
1994/07/01,417,0,0
1994/08/01,390,0,0
1994/09/01,333,0,0
1994/10/01,280,0,0
1994/11/01,267,44,40
1994/12/01,366,15.2,77.2
1995/01/01,414,27,12.4
1995/02/01,411,14.4,142.4
1995/03/01,754,48.3,53.3
1995/04/01,1066,0,0.9
1995/05/01,908,2,4.6
1995/06/01,531,0,0
1995/07/01,456,0,0
1995/08/01,390,0,0
1995/09/01,330,21.6,0.2
1995/10/01,287,11.2,8
1995/11/01,267,16.6,1
1995/12/01,341,54.1,101.5
1996/01/01,473,139.3,126.2
1996/02/01,502,260.6,109
1996/03/01,735,9,22.5
1996/04/01,909,0.4,0.9
1996/05/01,623,2.9,0.1
1996/06/01,419,0,0
1996/07/01,387,0,0
1996/08/01,361,0,0
1996/09/01,297,0.5,1.5
1996/10/01,249,3.5,0.8
1996/11/01,226,104.7,34
1996/12/01,308,46.1,72.8
1997/01/01,467,153.8,173.3
1997/02/01,583,19.2,116.5
1997/03/01,920,64.8,163.2
1997/04/01,1097,1.8,0
1997/05/01,904,5.1,3
1997/06/01,581,0,0
1997/07/01,432,0,0
1997/08/01,377,0,0
1997/09/01,323,12.6,3.7
1997/10/01,278,26.6,17.8
1997/11/01,274,24.8,10.7
1997/12/01,296,67.8,50.9
1998/01/01,504,150.2,91.3
1998/02/01,794,18.6,75.2
1998/03/01,1197,28.4,8.1
1998/04/01,1392,32.6,1.2
1998/05/01,944,0,0
1998/06/01,570,0,0
1998/07/01,467,0,0
1998/08/01,416,0,0
1998/09/01,345,0,0
1998/10/01,297,1.7,10.5
1998/11/01,278,50.5,105.2
1998/12/01,344,109,60.7
1999/01/01,526,110.2,133.5
1999/02/01,679,56.5,12.2
1999/03/01,1114,41.2,80.2
1999/04/01,1554,3.8,0
1999/05/01,1310,10.2,0.5
1999/06/01,722,0,0
1999/07/01,553,0,0
1999/08/01,434,0,0
1999/09/01,344,0,0
1999/10/01,309,7.9,3.7
1999/11/01,276,14.2,19.2
1999/12/01,393,63.5,151.4
2000/01/01,876,255,282.5
2000/02/01,808,183.5,284.9
2000/03/01,819,31.2,38.6
2000/04/01,924,21.7,0
2000/05/01,1065,2.3,0
2000/06/01,728,2.6,0
2000/07/01,551,0,0
2000/08/01,422,0,0
2000/09/01,350,0,0
2000/10/01,295,5.7,0.4
2000/11/01,249,43.7,12.1
2000/12/01,262,45,141.3
2001/01/01,342,34,45.5
2001/02/01,517,103.8,111.3
2001/03/01,1134,47.7,38
2001/04/01,1466,87.8,0
2001/05/01,1565,3.5,0
2001/06/01,937,0,0
2001/07/01,696,0,0
2001/08/01,506,0,0
2001/09/01,403,0,0
2001/10/01,329,22.3,11.5
2001/11/01,297,126.4,59.7
2001/12/01,418,41.4,145.9
2002/01/01,459,53.3,60.3
2002/02/01,573,44.5,34.2
2002/03/01,998,15.3,44.1
2002/04/01,1231,6,9.9
2002/05/01,1025,0,0
2002/06/01,693,0,0
2002/07/01,529,0,0
2002/08/01,408,12.8,0
2002/09/01,334,0.4,9.4
2002/10/01,285,31.2,0
2002/11/01,260,69.1,16.6
2002/12/01,369,54.9,78.5
2003/01/01,511,30.5,56.1
2003/02/01,764,51.1,38.9
2003/03/01,1203,5.5,0
2003/04/01,984,30.4,0
2003/05/01,932,0,0
2003/06/01,675,2.1,0
2003/07/01,508,0,0
2003/08/01,419,0,0
2003/09/01,331,0,0
2003/10/01,264.1085568,2.2,9.3
2003/11/01,286.406064,32.1,8
2003/12/01,437.5754352,77.4,64.8
2004/01/01,1107.606442,146.6,140.6
2004/02/01,1696.252389,101.3,109.8
2004/03/01,1837.72057,137.4,143.5
2004/04/01,1478.930054,13.8,120
2004/05/01,1286.112298,0,0
2004/06/01,823.714704,0,0
2004/07/01,671.2172784,0,0
2004/08/01,517.2352416,0,0
2004/09/01,403.754112,0,0
2004/10/01,341.2739952,4.2,0
2004/11/01,296.907984,15.2,40
2004/12/01,421.170192,95.8,86
2005/01/01,509.3445888,94.8,38.3
2005/02/01,821.587968,45.5,47.2
2005/03/01,1177.251062,51.3,61.6
2005/04/01,1426.164754,19.9,14.7
2005/05/01,1343.54903,0,0
2005/06/01,778.0876416,0,0
2005/07/01,569.294352,0,0
2005/08/01,443.1337632,0,0
2005/09/01,354.0507408,0,0
2005/10/01,279.9331488,0,0
2005/11/01,280.5052896,123.6,140.3
2005/12/01,385.9484112,81,285.2
2006/01/01,570.5643456,113.2,243.2
2006/02/01,666.9469152,247.1,240.2
2006/03/01,862.3574496,75.4,118.5
2006/04/01,1067.422752,10.2,13.6
2006/05/01,1222.982669,7.8,0
2006/06/01,901.8101088,0,0
2006/07/01,633.8950272,0,0
2006/08/01,484.5067488,0,0
2006/09/01,384.7190688,0,0
2006/10/01,338.6219904,20.2,14
2006/11/01,383.8006368,29,52.9
2006/12/01,676.5551568,78.6,37.9
2007/01/01,1157.296982,56.1,159.5
2007/02/01,1078.018243,44.7,52.1
2007/03/01,1405.818979,54.8,133.9
2007/04/01,1807.754242,0,2.2
2007/05/01,1177.201598,0,0
2007/06/01,778.2225984,0,0
2007/07/01,609.7358592,0,0
2007/08/01,484.4444112,0,0
2007/09/01,395.2506326,0,0
2007/10/01,316.6068112,22.4,13.5
2007/11/01,272.4275993,71.8,48.9
2007/12/01,377.5732704,64.8,26.3
2008/01/01,493.1188663,205.5,348.3
2008/02/01,783.7407689,81.7,137.5
2008/03/01,1038.060058,42.7,131.2
2008/04/01,1271.20225,0,1.5
2008/05/01,1173.115162,17.5,18.7
2008/06/01,737.9724425,0,0
2008/07/01,593.9050834,0,0
2008/08/01,460.2072204,0,0
2008/09/01,359.2756178,0,0
2008/10/01,283.8184704,0,0.5
